,Florida,California,Texas,New York,Virginia,Arizona,Massachusetts,Utah,the District of Columbia,Washington,Colorado,Michigan,Connecticut,New Jersey,Nevada,Pennsylvania,Missouri,Maine,South Carolina,Maryland,North Carolina,Minnesota,Indiana,Georgia,Illinois,New Hampshire,Iowa,Hawaii,Idaho,Tennessee,New Mexico,Mississippi,Ohio,Kansas,Oregon,Montana,Alabama,West Virginia,Vermont,Wisconsin,Rhode Island,North Dakota,Louisiana,Wyoming,Arkansas,Oklahoma,Kentucky,Alaska,Nebraska,Delaware,South Dakota
2001-01-01,113881.38459794798,210220.0890322198,114035.65907502094,161601.64576786742,131362.96565911846,141881.8976897165,218110.96096489485,174259.82014554634,171653.8363700249,180153.32818912677,194716.56127288702,120608.60437749237,171530.54249783678,182830.4398790154,160035.0815133093,102330.7949839806,101439.51548381535,113610.72006621432,118715.43143550427,156854.91892821973,133299.8911462505,136081.70899405715,98154.24350494241,133927.32195386905,134031.40778727012,145603.91670976696,92571.00686790796,202297.18838421477,124631.62432127054,114519.1393204003,,92224.49788183626,106790.55156360041,90271.33869776565,154108.62181347547,,102254.02037080232,75320.21178001394,121506.65788787154,122287.49888731034,141652.8542094317,,113000.36201530846,,91229.70156711206,85922.94318175442,91795.37705791158,137634.83734034898,115699.34161525266,154936.93629068887,104008.07646549429
2001-02-01,114542.86884543962,212161.24971037576,114002.10448293532,162594.66503131427,132173.7779924523,142498.9026763922,220519.17398266416,174538.26115739474,172457.30327275678,180973.49623246118,196552.72657574093,121213.9431720244,172431.35880318494,184296.9348722515,160802.75779377244,102761.16677496872,101801.32011193509,114803.02025743522,119178.04575525656,157504.77327026436,133750.08554681655,137348.64323578103,98312.82833712369,134727.2437744926,134651.2272006164,147354.87473635757,92863.43835776388,202935.3116156763,125028.99027106106,114894.60312200057,,92580.4091755002,107120.11522156774,90882.66581145547,154533.22715827802,,102677.78763570338,75759.45335397826,122380.72365894027,122803.08526076435,142716.25522088978,,113610.39175500337,,91605.71306848117,86349.29692120611,92264.35399502654,141401.61014378164,116034.91777574568,155631.01838321696,104222.39488593563
2001-03-01,115234.36230977155,214346.18614879102,113779.8941689494,163490.30276995423,133009.20234679666,143118.8402435145,222892.8324473241,174705.49515506745,173591.51383857997,181745.10277911564,198414.21739683053,121708.74904685172,173433.19200067988,185753.4824090727,161638.84827365063,103194.03240718444,102201.808480152,115919.43413682545,119657.06745972771,158057.19040919945,134114.1873747663,138606.99938156022,98311.48315246923,135410.37925401353,135323.14543756875,149002.8871225526,93050.01884475532,203506.79962051546,125575.97806260672,115209.44027275691,,92798.33623495877,107426.16402236071,91525.95386712311,154984.43235670458,,103027.00701037991,76090.80467675178,123296.17148463834,123318.5398560599,143849.40418531877,,114197.91609248573,,91888.13691696676,86718.69662893926,92711.45959092649,146210.22953886024,113698.72229217998,156386.98901030322,104662.30776352259
2001-04-01,116051.18333949723,217062.8581091383,113649.70747487705,164425.38494601985,133882.45332760044,143749.0903691961,225345.26157889914,174879.2606969256,175318.09181080444,182499.75630355903,200226.47453282285,122142.30188665562,174590.60337559565,187292.55419942658,162474.75866587975,103658.49204536244,102717.03587339008,116798.97797016584,119985.1399339806,158800.7254056897,134383.3368135092,139969.77304484733,98267.45898126422,136040.08939080668,136007.7547889071,150702.81536433334,93307.80339839146,204189.29001634324,126102.65197945772,115459.60188607167,,92980.87510847433,107729.21913512626,92081.11919162546,155378.30769822295,,103278.7987562007,76246.17058601494,124215.80115916471,123887.09151247794,145166.93332136527,,114710.29216295602,,92063.77502816234,87065.71888695368,93112.38305188568,149849.854598325,110363.28454312975,157107.8482803996,105058.09614985033
2001-05-01,116945.84872585519,219785.15445325512,113693.41857960011,165458.09528577593,134848.35445148897,144388.82345994594,227879.01880080826,174978.07606020893,177288.95113318437,183152.13197580609,202035.13579969978,122668.2618907151,175894.14429055713,188811.56633174312,163364.6229961052,104102.98950170718,103328.55129463733,117850.3953573833,120355.45316666244,159671.0089450895,134696.49442934734,141362.3204000314,98461.86877383936,136735.7220201986,136822.47648698345,152600.22222048717,93602.94101889827,205175.77889217497,126618.02035400372,115748.3076758122,,93308.91901871853,108058.01263096453,92599.6088857425,155820.71280229438,,103528.09946041151,76550.18899544359,125065.17242871302,124474.45653555177,146568.53552325835,,115178.40244353807,,92385.48689555791,87369.82675395579,93531.33916653431,152865.839036388,106911.56861184126,157855.40588696234,105637.33049836027
2001-06-01,117879.73514877925,222258.13547092458,113825.96037414148,166597.95910353877,135814.4599621972,145034.0961849397,230539.46082213588,175143.47975776577,179190.29913740876,183819.78599508072,203651.21608522884,123205.21136647048,177208.06133167018,190503.77813126496,164227.55637402218,104555.54688191549,103997.1926374918,119010.58133248497,120748.78089646522,160718.60861564238,135011.4814497324,142756.15766518583,98806.87049247061,137430.32166035843,137681.07252054397,154630.8665990837,93979.40019756743,206296.6606585481,127001.37433784142,116030.17086044124,,93657.08716756459,108381.70146594878,93101.7777606619,156282.02358748481,,103784.79377247283,76858.42864473582,125866.5867803467,125094.02348235193,148014.19278837822,,115606.76912427133,,92750.97846489388,87671.54180456018,93977.57330587809,155398.43146065736,106042.72659181221,158589.43111371607,105935.73930367013
2001-07-01,118883.6902300201,224573.40404932256,113981.6566952875,167794.64621547106,136854.691207353,145648.008749848,233360.70033028614,175280.99129501206,181101.3856395186,184451.25256538743,205244.98731511342,123761.86948606359,178481.72107035268,192326.02577455493,165147.09483618854,105042.44984821162,104680.33084037248,120318.19795493211,121230.51448679197,161844.55673550398,135312.1467503902,144217.96484674673,99225.91803251374,138123.09785100856,138566.7915116923,156663.15037256994,94360.2741853012,207527.17837717556,127394.66519768709,116300.31585107146,,93946.17553688942,108742.84193719416,93594.07184239966,156822.1199729382,,104075.20698831032,77166.58366320691,126688.81059302791,125753.94943000244,149564.18984529466,,116018.12322172232,,93172.35577062686,87955.73459192715,94422.72074597981,157773.9323839977,106016.2359668801,159288.21986181283,106221.08761699051
2001-08-01,119947.8152122659,226804.19992802432,114121.50771089371,169050.8072096516,137902.59008685118,146255.134273619,236434.83379917065,175548.65544680782,183208.15809971408,185229.21196103215,206815.00989485043,124351.74906500278,180130.60701390836,194337.4635957676,166085.0272846867,105578.80923908534,105306.96874192487,121439.50573304016,121624.16239711428,163086.13328174804,135654.31037297336,145809.80132609056,99594.01910484246,138826.6246939888,139650.85259166622,158519.60094165898,94776.58083826683,208727.54887755206,127871.26380966179,116618.45585578603,,94274.52430154996,109143.71740643137,94055.88535335816,157436.52885709552,,104333.44993682955,77452.20142854382,127445.33785578837,126448.95403558757,151417.6022057891,,116481.5394108093,,93523.17591302405,88273.22153266626,94815.81297263918,159493.09371262952,106180.74895714957,160028.3539509964,106289.31203444314
2001-09-01,121051.00743681371,228969.3963281456,114268.59237375417,170279.3875062988,138982.92940417049,146866.21634813258,239421.24418944423,175797.20177530765,185447.7447108434,185935.66286077234,208289.96664708,124993.12056053738,181956.0271492486,196494.3257478981,167053.03847871537,106121.6818715433,105909.22586877353,122503.5922958925,121960.92753192887,164357.92900896983,136004.09811583124,147508.82658931936,99790.7029676526,139527.6583899343,140895.15010683166,160385.17853522324,95192.24430708207,210055.1191841463,128385.24043443987,116955.56325767089,,94576.62623124123,109552.58773418936,94470.86982163897,158012.69294618885,,104623.61505036736,77694.80859724928,128209.119842567,127147.92020533238,153454.46675445084,,116950.74818812271,,93824.09910987139,88606.86992385796,95153.95251638803,160700.50261648116,106410.45141269719,160815.36560974052,106378.43859700499
2001-10-01,122157.22678276802,230993.90157088081,114422.43971610659,171572.51211792268,140017.25887826722,147526.48906739557,242604.82485202965,176058.30185774108,187693.58755096514,186724.52492979102,209578.83704676837,125642.45901934034,184013.72046615326,198744.76450989247,168036.20425561114,106620.52888521207,106538.31403738365,123460.43724506495,122275.43207687984,165570.63269830632,136389.1156286694,149264.05113733283,100091.88516265691,140220.73928527482,142326.6565643413,162176.1852030517,95614.80716159014,211412.61110373502,128868.63633095803,117325.56481075799,,95044.19717325394,109944.93733441853,94879.38599643379,158568.0617759582,,104957.13783832634,77955.5427941236,129030.3280487409,127826.84582652245,155729.26310055054,,117410.78875823128,,94016.97501623123,88919.470710551,95451.41021312813,161504.2596504163,106631.67160417563,161655.7714498509,106582.41216477717
2001-11-01,123218.13364824686,232895.79712738073,114534.84635420718,172926.19163668083,141087.7444144774,148210.61355561964,245732.43640336514,176249.1154160793,189837.3525064433,187418.16210031704,210629.13057517205,126231.79261921473,185811.67142747357,200802.98014397325,168955.040175944,107127.08135773179,107208.59443273308,124595.79647476731,122604.92174298778,166757.90404159427,136689.77461943522,150934.51257138865,100326.88426010821,140848.85279923034,143418.92459508285,163904.00738246777,96023.27143845627,212617.7483435819,129175.88485124432,117628.72847819392,,95394.79874731718,110299.49232929588,95274.39016695245,159062.68136541973,,105284.16503276379,78112.87551598798,130006.53394282162,128472.55541784066,157763.36801883337,,117851.32950611344,,94149.81266443834,89177.2131275554,95735.50330789662,162426.9458125945,106849.50193981045,162530.0011709059,106825.57309451433
